,code,name
0,sh510500,500ETF
1,sh515700,新能车
2,sz159997,电子
3,sz159928,消费
4,sh512010,医药
5,sz159602,A50
6,sh512200,房地产
7,sh512000,券商
8,sh512660,军工
9,sh513050,中概互联
10,sh513300,纳斯达克
11,sh512690,白酒
12,sh510410,资源
13,sz159867,畜牧
14,sh515790,光伏
15,sh510300,300ETF
16,sz159905,深红利
17,sh512480,半导体
18,sz159995,芯片
19,sh516780,稀土
20,sz159825,农业
21,sz159949,创业板50
22,sz159992,创新药
23,sh516950,基建
24,sz159830,黄金
25,sz160620,资源LOF
26,sh502023,钢铁LOF
27,sz161032,煤炭LOF
28,sz165520,有色LOF
29,sh511010,国债ETF
30,sh510050,50ETF
31,sz159915,创业板ETF
32,sh516160,新能源
33,sh510050,上证50
34,sh515050,5GETF
35,sz159930,能源
